SmsId,Label
4456,spam
690,spam
944,spam
3768,spam
1189,spam
4437,spam
3587,spam
1982,spam
2038,spam
2078,spam
4224,spam
2425,spam
3975,spam
2690,spam
1999,spam
3348,spam
134,spam
3849,spam
452,spam
4379,spam
5216,spam
39,spam
861,spam
467,spam
15,spam
1362,spam
348,spam
3171,spam
1892,spam
2961,spam
3487,spam
3499,spam
3155,spam
2433,spam
3753,spam
489,spam
4579,spam
5253,spam
1755,spam
2311,spam
2793,spam
142,spam
2653,spam
3363,spam
520,spam
3772,spam
3621,spam
806,spam
1658,spam
3424,spam
2724,spam
3697,spam
3305,spam
2550,spam
1095,spam
1865,spam
2878,spam
2602,spam
1121,spam
1705,spam
5088,spam
1247,spam
2790,spam
3719,spam
304,spam
3144,spam
1516,spam
3663,spam
3538,spam
2953,spam
852,spam
42,spam
1391,spam
3556,spam
202,spam
3626,spam
4054,spam
3161,spam
2752,spam
5229,spam
4269,spam
2923,spam
2184,spam
684,spam
4414,spam
4966,spam
3630,spam
1457,spam
971,spam
2162,spam
2971,spam
3233,spam
4837,spam
1580,spam
4559,spam
2565,spam
144,spam
683,spam
381,spam
2453,spam
3099,spam
3462,spam
5329,spam
4116,spam
3595,spam
854,spam
608,spam
1536,spam
3476,spam
1303,spam
5303,spam
4615,spam
5380,spam
842,spam
4580,spam
2523,spam
1196,spam
704,spam
4700,spam
4283,spam
2216,spam
2521,spam
1906,spam
1651,spam
1741,spam
3978,spam
1003,spam
4907,spam
502,spam
2147,spam
3503,spam
1520,spam
3433,spam
472,spam
1746,spam
1008,spam
1246,spam
1493,spam
1819,spam
4174,spam
1958,spam
2012,spam
4396,spam
3773,spam
4963,spam
5564,spam
2013,spam
4065,spam
4118,spam
496,spam
1817,spam
3261,spam
1001,spam
2782,spam
2131,spam
302,spam
2217,spam
4308,spam
4577,spam
247,spam
4634,spam
530,spam
2626,spam
1597,spam
867,spam
1778,spam
3489,spam
3552,spam
5315,spam
3440,spam
1726,spam
5434,spam
4637,spam
3628,spam
2373,spam
2426,spam
214,spam
3074,spam
3256,spam
1533,spam
1272,spam
2378,spam
5461,spam
1370,spam
1393,spam
72,spam
3010,spam
4889,spam
521,spam
4309,spam
1116,spam
3269,spam
873,spam
5131,spam
3368,spam
3484,spam
4067,spam
4601,spam
4847,spam
2600,spam
3764,spam
2359,spam
5566,spam
2734,spam
3512,spam
584,spam
2224,spam
3638,spam
1161,spam
3904,spam
4586,spam
882,spam
1949,spam
5079,spam
4349,spam
1526,spam
3926,spam
4593,spam
2346,spam
1670,spam
3009,spam
4731,spam
5381,spam
1736,spam
2696,spam
2369,spam
3921,spam
4422,spam
949,spam
4617,spam
4561,spam
5136,spam
3050,spam
1122,spam
3519,spam
829,spam
1042,spam
4017,spam
2657,spam
4482,spam
4589,spam
5421,spam
1224,spam
1957,spam
678,spam
5554,spam
725,spam
2262,spam
66,spam
3906,spam
29,spam
5154,spam
5331,spam
1692,spam
3545,spam
4988,spam
2840,spam
1098,spam
866,spam
3581,spam
2708,spam
1816,spam
4428,spam
3600,spam
965,spam
3691,spam
311,spam
451,spam
4344,spam
2740,spam
5492,spam
148,spam
1529,spam
1934,spam
2986,spam
4714,spam
2762,spam
3359,spam
4031,spam
5386,spam
3883,spam
4004,spam
2091,spam
2182,spam
379,spam
4856,spam
1398,spam
1675,spam
2379,spam
1939,spam
4643,spam
593,spam
2118,spam
1771,spam
3210,spam
1595,spam
2204,spam
661,spam
2339,spam
4554,spam
3631,spam
1259,spam
405,spam
154,spam
2407,spam
138,spam
4574,spam
731,spam
1786,spam
4616,spam
2284,spam
5105,spam
3389,spam
4902,spam
4292,spam
4901,spam
4052,spam
939,spam
5165,spam
3694,spam
4088,spam
933,spam
2329,spam
2377,spam
3304,spam
4650,spam
4666,spam
2294,spam
5397,spam
3707,spam
5507,spam
1050,spam
2196,spam
4375,spam
4241,spam
3055,spam
2939,spam
1450,spam
3491,spam
3990,spam
3655,spam
1367,spam
3620,spam
241,spam
1066,spam
3572,spam
3523,spam
825,spam
5352,spam
5113,spam
776,spam
2996,spam
2148,spam
1192,spam
3550,spam
2232,spam
5451,spam
2568,spam
4120,spam
1452,spam
3521,spam
5276,spam
2423,spam
878,spam
1669,spam
2399,spam
5364,spam
2830,spam
3235,spam
308,spam
1564,spam
1986,spam
143,spam
65,spam
4434,spam
4498,spam
2625,spam
5159,spam
98,spam
4813,spam
5308,spam
3573,spam
388,spam
1043,spam
5026,spam
2075,spam
5383,spam
1702,spam
2477,spam
1185,spam
113,spam
2578,spam
2466,spam
4318,spam
4800,spam
4864,spam
3902,spam
1507,spam
1170,spam
5550,spam
5137,spam
5007,spam
977,spam
2913,spam
780,spam
1422,spam
4286,spam
1421,spam
1223,spam
3648,spam
871,spam
443,spam
3082,spam
5034,spam
533,spam
5091,spam
1234,spam
1216,spam
3843,spam
5182,spam
5355,spam
4323,spam
1688,spam
4816,spam
5010,spam
2575,spam
5460,spam
1327,spam
2266,spam
349,spam
1887,spam
716,spam
1850,spam
1767,spam
5030,spam
3119,spam
2154,spam
137,spam
4060,spam
4679,spam
3156,spam
2528,spam
4954,spam
3121,spam
3402,spam
3111,spam
1390,spam
1691,spam
376,spam
548,spam
3810,spam
1946,spam
535,spam
5429,spam
2816,spam
979,spam
1833,spam
444,spam
1940,spam
4766,spam
2111,spam
1139,spam
3289,spam
4938,spam
4809,spam
1275,spam
3481,spam
5051,spam
528,spam
3956,spam
1700,spam
4364,spam
4179,spam
217,spam
3592,spam
2370,spam
1790,spam
4684,spam
3685,spam
2889,spam
1262,spam
3706,spam
1749,spam
864,spam
5396,spam
3951,spam
3157,spam
159,spam
3002,spam
4516,spam
1840,spam
499,spam
4430,spam
1928,spam
994,spam
862,spam
223,spam
5078,spam
